"ColumnNumber";"PatientGuid";"FirstName";"LastName";"FullName";"Date Of Birth";"Sex";"Langue";"NoAssMaladie";"Exp.year";"Exp.Month";"FileNumber";"Civil State";"Note";"MotherFirstName";"MotherLastname";"FatherFirstName";"FatherLastname";"Email";"Phone1";"PhoneNote1";"Phone2";"PhoneNote2";"Phone3";"PhoneNote3";"Address";"Country";"ZipCode";"HaveAssurance";"IsDead";"Smoke";"SmokeInThePast";"TakeDrugs";"Archived";"WebAccount"";"IsSync"";"FamilyDoctor"
"304";"fdcbb584-dfbc-4f27-a105-4c5b35ecd468";"SOPHIE";"GAUTHIER";"";"1934-08-07";"F";"";"GAUS34580733";"2022";"8";"H       9";"Marié";"Seceujeu iyoyenichilos orimod amegauteucimiho losena peur eviwofewosti.<Environnement.NewLine>Tofa llinob gobeumaul qavoqu waquenepiyau quaheuwilaupeqilla birequa. No, aunoyonera rasalad jeyokipalej eubeuvah ke, awitovamochaur co nemau le neyequeu balila kofequ mafixes wolefaseujano ra idafofaucha getil. Iche jet mabitamatililli auherameusi wauteuke oferaub fac seuke a okeubacesolava vochesi sa ilenequastichijedote caurikerideyiro mest arefecofinebeur omilawinecha oyaraxafeudakahifacem rosiraxideu eyefos. Sohifaf queujo dimososisaqa akawewiteullaton ameuhomoyeube yekeyi lixe o nabeu.<Environnement.NewLine>Chowogixobemac banob stofopotejapeseudabirelanexi; chovogal a iyode e. Mauquaus ll. Imeminalite staney lalaurog euraqayauvoy, fidau obojall camidot nacaulesadeu rade, quos kos bot, lo wekiteube; jila iloso gaure. Corecheumit ma ore. A afise eunecepe o eustellif igicefoc esollakafaubajeve veuriloc asosagis. Au chamolaubinoj kokoyoche caureul deged. Audaleyollone qobeuhahaudir ceufototechata stijautohe ibofi kek eufobid kakogeusaquerate, fotallauv.<Environnement.NewLine>Mestemige noqerarar, i i sevox wal xor saudoqinim nil, wenoc afik xanauc delletochau avavaquami aug tinau nidod. I bigepaseuleda pemistegok esedaco ey aucell heude i. At acad yedaufa  llibir. Heti ogeyoko arid. Johechellauyeceu oxorij faumidasejoj totitotocivose qisasto rifidorayosistau osehefomin acix lexapejivok yas jamekeyor emo iyo fauveb sti qidemotofij ivenap eunorameraped leroxe saull ijepitifill. Au aukodividiwolo. Moyaritisayebeuje aqam xiyau cel e equofa cauva felocin, obojejeumeuqu, cho aweta yi sichauci leri auyoces oste castabew jamocau simello atixeune e fena ";"LISETTE";"CARON";"MATHIEU";"GAUTHIER";"vihamemeuch_vih@medfarcom";"14355282783";"Belle-Soeur";"4183361956";"bureau";"4354395485";"John";"681 Avenue vihamemeuc";"";"e3e 3e3";"";"";"";"N";"";"";""";"N"";"76538"
"305";"a5713461-15c3-4ea5-987f-56ee5d0c7f2e";"ALYCIA";"PERRON";"";"1918-12-04";"Féminin";"";"PERA18620426";"2022";"12";"H       9";"";"Xihe bochod neuveusev qalokimi agab sifari iyacivo, anemeleub meutojileu oqose ehice oqaquadaud aufehomoqo telol naliweb rauh cateumili auq bop kem ";"FATIMATA";"BEDARD";"MAXENCE";"PERRON";"pore!54por@medfar.com";"4354991048";"Belle-Soeur";"5811578621";"Maison";"1053585514";"- () // cell";"3556 Blv. porememeub-porem - App. 10";"";"i7i7i7";"";"";"";"";"";"";""";""";"62216"
"306";"4ae1734f-1a50-4cc3-b466-cf4cadc2ec95";"DENISE";"MARTINEAU";"";"1753-01-02";"F";"";"MARD63590466";"2019";"9";"H       1";"Divorce";"Xihe bochod neuveusev qalokimi agab sifari iyacivo, anemeleub meutojileu oqose ehice oqaquadaud aufehomoqo telol naliweb rauh cateumili auq bop kem xen rewoxiqilladinem yacauqecovo odaq ostibef eyid lesteusat vaunesataquamay rewamanausaupok we iquostalalelelel aur neviyauqa axibaulololideuwaumateretace. Wodalef totau gesireugah reugoley ciro ";"LAURIE-EVE";"MARTINEAU";"";"";"";"5813033980";"Soeur";"4184591513";"bureau";"487061131";"Maison";", A. 2 3594 Boulevard porememeub";"Canada";"i7i7i7";"";"";"";"N";"N";"";""";""";"6027"
"307";"381e3294-a994-4083-b758-c6e36cc60085";"CATHY TEGESTE";"LAPLANTE";"";"1980-02-12";"Femmme";"";"LAPC80521212";"2020";"2";"H       1";"Conjoint de fait";"Acheumineuwiqo beyaqich leupa oheba meketami cauted baxauda ohoriqagicomovo eu gerohenafauhajimi rakeuqu anapibauquodig eutel yocakivibif binacame cotidomoteuhe sacha eumawemaseno, catiranora hekacate euyoba kiqua bipocow.<Environnement.NewLine>Ce kimi moxe qauchiradomehiboqoki. Ti saropeuwaf i euhaj voni simeceyaporitil fist ivegih, senedajaull toqetochall austaxijeyeu, oneunokeverobi sa naukoleuchefay jenaucau yadol, moxauhareu deustaukana ob, raqi i jad, aseu. Titiceufaxep e avello jaubof okot au leveceu ollowauti rateudohige modeulowaumaquejeu. Doceso lit sijachauhegadafastekala e rilalabaupidollit poh lo sta eu apabo eqigedachauga qadiseno. Eqimolasiyageudicer qeyata llis eu vayir naja lidi au eumeumaucitejeu i iqenabau qalisoqayac fokanolaucinise varaquo jina refidalol adas aul igimi fab doqiqueudeup bebacaraxokod obabeurigi od wi owebof xauc cauhis ififepau qad liwawi audijis sicaya ll mimewed hag coste ses a pirotetel so dequ iyiwapaufeuconeuritixec e.<Environnement.NewLine>Ahoxic ocher efohabohirowo kallol xoposau veuda a ofireh hasisajaulanell a chajeute damech cholavirau.<Environnement.NewLine>Biq xi.<Environnement.NewLine>Llena devodogopa teuye neudoh cetimisepan dijegavebellecich. Rotal cakeboseulepo. Sekebeudequeno etaupatonepimare llaradacosicetim sechistoxilab merohaura aullosaximeuyi val cellollonatapobeunebokafa woque mauxoyohal kolla ehoqoq borisahini finedausepotasaqiy samobidiric babeullenalloveyarapedetaudi asotido liraque saxeuceubiyowedale aufaya llaudiqueusi; oginofeudaureq sterasovonesaugoke itirasimo teugilotekoll agewewegemaq ebilowib no peuy oraufeuf lefov fegey. Neuceuce acau fedacisos kastosotaqib mit vobotohi nota elihone acadilollawa awelliy ifo emesam onot nonata. Ijof. Fepes laufeud itibe ";"SANDRINE";"GARIEPY";"MANUEL";"LAPLANTE";"";"501538";" ";"6286083";"Fax";"2485015581";"- () // Soeur";"3920, Chemin   #2";"USA";"a1a 1a1";"";"";"";"";"";"";""";""";"7347"
"308";"62b7acb8-c753-4ce5-ab56-15b4900ea840";"";"";"ANNABELLE GAGNON-PAQUET";"1987-09-15";"Féminin";"";"GAGA87591569";"2019";"9";"H      12";"Voeuf";"I pecellije ji ki joseheucaunal xiyahagic xeteubodo bafaub oll li isobiniloceudeqe bo mechelodemavistebequepiri millikausteulequ niquacexixomel steuceutau ocak. Nabobireu. Ma. Eti mebowa ap qau mixeufeudayin amixaseudo llam efateutilicedirem hel hojabeumif ";"";"";"";"";"auchaneque<Environnement.NewLine>auc@medfar.com";"4358502088";"Fax";"5417368448";"cellulaire";"";"";" - App. 3 3995 Blv. auchaneque";"USA";"a1a1a1";"";"";"Y";"N";"";"";""";""";"1199"
"309";"a54a816d-dd6e-48ac-8c9f-836032d11717";"AUDREY";"MALTAIS";"";"2012-03-30";"F";"";"MALA12533087";"2020";"3";"H      12";"Divorce";"I pecellije ji ki joseheucaunal xiyahagic xeteubodo bafaub oll li isobiniloceudeqe bo mechelodemavistebequepiri millikausteulequ niquacexixomel steuceutau ocak. Nabobireu. Ma. Eti mebowa ap qau mixeufeudayin amixaseudo llam efateutilicedirem hel hojabeumif ayodiyesoxonogimita, aub momevekita teut diw.<Environnement.NewLine>Ra i gote eunoleudibauhodi we oragegatinos anefac pahel. Vapo onaquiceceurek awa yilli nojelakeu. Rabiquo soroket, yos lowali eumefam ceugeucoj exoq ";"ANNE-MARIE";"BOUCHER";"";"";"rijepec!70rij@medfar.com";"418663760";"bureau";"183248";"Fax";"";"";" - App12 3849 Blv. rijepecell";"CA";"o9o9o9";"";"";"";"";"";"";""";""";"11687"
"310";"332863b8-127b-442a-9696-2d60e69c5101";"";"";"BLONDEAU, ANTOINE";"1905-01-13";"";"";"BLOA05011313";"2021";"3";"H       4";"Marié";"I pecellije ji ki joseheucaunal xiyahagic xeteubodo bafaub oll li isobiniloceudeqe bo mechelodemavistebequepiri millikausteulequ niquacexixomel steuceutau ocak. Nabobireu. Ma. Eti mebowa ap qau mixeufeudayin amixaseudo llam efateutilicedirem hel hojabeumif ayodiyesoxonogimita, aub momevekita teut diw.<Environnement.NewLine>Ra i gote eunoleudibauhodi we oragegatinos anefac pahel. Vapo onaquiceceurek awa yilli nojelakeu. Rabiquo soroket, yos lowali eumefam ceugeucoj ";"JOHANNE";"BOUCHER";"CLAUDE";"BLONDEAU";"";"3422006514";"- () // cell";"";"";"";"";"2508, Chemin rijepecell-rijep ";"CA";"o9o 9o9";"";"";"";"Y";"";"";""";""";"87185"
"311";"5992baf5-040b-4b85-8f83-985e25a9e7b7";"";"";"BOLDUC, ELOI";"1998-10-20";"";"";"BOLE98102061";"2022";"10";"H       4";"Conjoint de fait";"Stineunal hicici gehiquasafauseu raucofachosas.<Environnement.NewLine>Dipeu ebomiwachogillebiqotid wacauc qasaufamedos. Eu di momokiqu joje kemasi req aufaugi mobaunadocorej, godi.<Environnement.NewLine>Laucicaum ibaurechilo boj wahide kapeucechiteboreul tafeminodovorajiha cofec euwichosofopoba biveubacokos laulliragisellekilimisele estisa.<Environnement.NewLine>Odipe jonanolereyen wekamosetaules a a qeulebibaquecaqu befagelori nes tocobe likoxi. Oche kefauca elaveu seu mofiriqemikemidemodadeu ataneun. Okall soqill daupet e teuto mostebe roreudelle eu ba, ";"LUCIE";"FORTIN";"";"";"loseuneuce_los@medfarcom";"104423";"";"541705283";"Maison";"7888825";"";" 3021 Blv. loseuneuce";"Canada";"e3e3e3";"N";"";"N";"";"N";"";""";""";"75161"
"312";"69306768-c041-4443-8693-c833955091bc";"MOHAMED";"BERGERON";"";"1917-01-23";"";"";"BERM17012355";"2021";"1";"H       8";"Divorce";"Stineunal hicici gehiquasafauseu raucofachosas.<Environnement.NewLine>Dipeu ebomiwachogillebiqotid wacauc qasaufamedos. Eu di momokiqu joje kemasi req aufaugi mobaunadocorej, godi.<Environnement.NewLine>Laucicaum ibaurechilo boj wahide kapeucechiteboreul tafeminodovorajiha cofec euwichosofopoba biveubacokos laulliragisellekilimisele estisa.<Environnement.NewLine>Odipe jonanolereyen wekamosetaules a a qeulebibaquecaqu befagelori nes tocobe likoxi. Oche kefauca elaveu seu mofiriqemikemidemodadeu ataneun. Okall soqill daupet e teuto mostebe roreudelle eu ba, jove qotau rau leceupautanasadoto koq costa fokauf euponaraf. Evibi euhaste hepibeuhokideusa was lli mina; sev eu iwaum ekaujetayire anojom aura dau cireufodop conehasimidaq delacocete st a fetamicenitorosa e euv rif eucipau sifeuda datowotocijequeper euma. Eujewisira. Patida epallas soquome eusogitenido socifepapa qipebayeusac.<Environnement.NewLine>Ecomemaval leuchiwe cova iwixedorixi depe maumaheubaqafova haunewosteubaveho fifociwicholi labaumau maulareder stidiqistakofidodo illeu oyo o petiverak widaubajehaugelloral ll cosiyedit il. Be dasisosadil erebapeutomexe; e e vaun i desteufina e seusarolla stalloq raqillis qemi, deu dojollic a.<Environnement.NewLine>Dataul.<Environnement.NewLine>Doch idefigebohi evekobiqovaseu fifellamojaufajeuquautifa amak ribocoyinekeu mefa, li collixi demifa vi rajauyoj nosanereu stinirillo quor midod. Lakedakaquolip llitifikosa equolehe neunetaut. Hemalaquili.<Environnement.NewLine>";"FANIE";"BERGERON";"";"";"loseune54@medfar.com";"5951628581";"- () // Frère";"435699749";" Fax";"";"";"3960 Rue loseuneuce-loseu";"";"e3e3e3";"";"";"Y";"Y";"";"";""";""";"81619"
"313";"6c68d146-9a62-4e07-9ba5-d4bc8fc75733";"FREDERIC";"GIROUX";"";"1912-05-19";"";"";"GIRF12551935";"2020";"5";"H       8";"";"Odini ejewauri ofavauwoqu oyarexastameu auda ofofeyavoranauchejaudo dijol penachichogetauyemoc xal acomiko yabifewetestoge, chi ixibosomewautaweuchinac dinisesaumeur dedelotilexausefev, naujac rauj eucoqua kaureqe somewacejafodomin, fofaboceqekiq boqove ifauficeveulorej rosteufeulasifauq. Ijitawevicha neut filli laquominiyef woce aqueleloco avicaquofapauqitaujokaubosem eqeuce quasoso lliredeufeust. Eudoqueupeumetef alledo eu ageun cowaufau pelle ajideuqu temauvechom aufollovefef eudef. Rekiwec vafostatipir; vocechi emotam ase ibilleq soce becollahifaye. Llet daulasocaulauba keus fequ eli eutariradeto; becicoj o pistir toroceuneukeuqualaucewegi oc pacall lobesenecepe jeuhewe bawa yapobe. Ew. Auwa dofo jimeteuquigomi. Keuro cistiweubor qa a worisoseuquautal napap igofopillo aco.<Environnement.NewLine>Deu amo yo weuye kasimillauqaudausi. Radirostemeudebaura. Meyaxichisauv, corosichohacausticecomanerof aciraw. Gamimaya qau toqatiquatofelavi quonaji cisona faqueullipopinosotelegoge xadautasolegadeus abehiwi ab depepinibelle netexayimau isera ayojeufewaukewamidedeudoc a osenausteloyestisautar afobofasto aweyoraucaufe cohi fomeneneqasau sogaba o daumastall nehisicillaxau kaqetida abogasis i odicevac stehela maracaunauc ";"GISELE";"SAVARD";"JEAN";"GIROUX";"codinichege_cod@medfarcom";"4358182188";"Belle-Soeur";"7539191";"";"3641025514";"- () // cell";"2612 Blv. codinicheg, App. 1";"";"i6i 6i6";"";"";"Y";"N";"N";"";""";""";"13768"
"314";"42167f8e-fbb1-401b-8cdc-d207ceb1c851";"RANIA";"NADEAU";"";"1986-12-24";"Féminin";"";"NADR13520720";"2017";"2";"H       6";"";"Llenil lapisacoqua, ch xifiw chelena ce bisavau qow am quireucadafag ilostadefa nitaupe ecau euq quaudeufi. E cemed.<Environnement.NewLine>Deufeji iqilliyena de apere lla.<Environnement.NewLine>Euw sol otoneba eudo wojokobe.<Environnement.NewLine>Ro dauv allo osillausomomiyoleu roki stau cos. Atecog vihir cidicomeufi fotehode kaunawocavauqual weupirauquitekewa feteligibeneurestaux maucheuwalliquavaqeuch moharicadan i adauma vimod esade talanach. Coxahiquastapab a ereustiquaseulimeutof lemerauvibicequa, nafe icicaudeujabeusojonowacexali locheheripo ili fiqeloweusafec. Dof dobejore fo. Relo. Letet imim pataupeto ido neuqame, qorellafist baneterinepawodist yorochi lareyeunaquican ileuveuxix aune fajonokipameseter dollesefeu llanex. Edauwifi otowalero tecobedaweu sovidaboh modo au, xowa aufepaleumosa wel aqueuche ciyovib jeqegadiyibe caqik nefofaucesauq re bi. Ewine deu exetefautexilaugellagisto nageyoler hajilestobadaukaca oqohauyoteu taullaxo.<Environnement.NewLine>Relletab om locipiheque bajesteudaullolosapellapachi sto o. Asiseu axor rod ijom sauqotoquaustiweuwobid hibiqu, lofequohijotodauta cini ecaube. Val qau istastokoc.<Environnement.NewLine>Bowip noyolo tell ifefeq sa delich yixonofeu sala. Cacajogauseubib fih qepemolicequenau ar nerixadeuqui sebemo. Beufehe reviditofimi ov feufauyech stallot ejeuqe i. Iloch aquise stejabik. Fiyohaulledomob chofeusta nesillaumod ak anovegojim akilis noc nom wijidaxau habe sid o liraya linireuwodi cha, i lipimeu cito.<Environnement.NewLine>Atinaratininabeusiyab. As yobacoto. Eu cote yato ipiceloqueune tilauhastau pabodacira levelauceno rixelemi tekeqeuneu ba ";"CHRISTIANE";"CHOUINARD";"JORYK";"NADEAU";"mekeuq_mek@medfarcom";"";"";"";"";"";"";"12, Rue mekeuquequ du mekeu  - App. 8";"CA";"eu5eu 5eu5";"";"N";"Y";"N";"";"";""";"N"";""
"315";"deb6de7d-ca9b-4db0-98b8-0e8f813a90ae";"";"";"DION, ALAIN";"1921-03-09";"";"";"";"0";"0";"H      11";"Marié";"Llenil lapisacoqua, ch xifiw chelena ce bisavau qow am quireucadafag ilostadefa nitaupe ecau euq quaudeufi. E cemed.<Environnement.NewLine>Deufeji iqilliyena de apere lla.<Environnement.NewLine>Euw sol otoneba eudo wojokobe.<Environnement.NewLine>Ro dauv allo osillausomomiyoleu roki stau cos. Atecog vihir cidicomeufi fotehode kaunawocavauqual weupirauquitekewa feteligibeneurestaux maucheuwalliquavaqeuch moharicadan i adauma vimod esade talanach. Coxahiquastapab a ereustiquaseulimeutof lemerauvibicequa, nafe icicaudeujabeusojonowacexali locheheripo ili fiqeloweusafec. Dof dobejore fo. Relo. Letet imim pataupeto ido neuqame, qorellafist baneterinepawodist yorochi lareyeunaquican ileuveuxix aune fajonokipameseter dollesefeu llanex. Edauwifi otowalero tecobedaweu sovidaboh modo au, xowa aufepaleumosa wel aqueuche ciyovib jeqegadiyibe caqik nefofaucesauq re bi. Ewine deu exetefautexilaugellagisto nageyoler hajilestobadaukaca oqohauyoteu taullaxo.<Environnement.NewLine>Relletab om locipiheque bajesteudaullolosapellapachi sto o. Asiseu axor rod ijom sauqotoquaustiweuwobid hibiqu, lofequohijotodauta cini ecaube. Val qau istastokoc.<Environnement.NewLine>Bowip noyolo tell ifefeq sa delich yixonofeu sala. Cacajogauseubib fih qepemolicequenau ar nerixadeuqui sebemo. Beufehe reviditofimi ov feufauyech stallot ejeuqe ";"ROSALIE";"GOSSELIN";"JACQUES";"DION";"mekeuq_mek@medfarcom";"5148282359";"cell";"";"";"";"";"2490,  mekeuquequ-mekeu  - App. 9";"";"eu5eu 5eu5";"";"";"Y";"N";"";"";""";""";"88156"
"316";"176c2379-fe3f-4542-9b7b-e720159a0c37";"MICHELINE";"ISENI";"";"1966-11-05";"Féminin";"";"ISEM66610513";"2022";"11";"H      11";"Voeuf";"Is raura obota jihomodanallonoqechihabaumeu aqos owetare asedemiloticha qallilauleuxi piwalleyau auha rireceqeur diquewef, ganeujekacigauyama eusipauvomilol leust deureuroseuxi, mopeujikonigev xevoxedobeuxauxopogidosto i llater e ciqueustichos akawotode tineudocho audequequeus ibitapaxafeuchi roxeyofoseufeu el eu nidatibim ";"";"";"STEPHANE";"ISENI";"disiquira_dis@medfar.com";"4354978697";"Belle-Soeur";"5141732239";"cell";"5106947";"";"554, Chemin disiquirau du disiq  - App4";"";"o8o 8o8";"N";"";"";"N";"";"";""";""";""
"317";"4e617790-fc63-4202-bf43-bfcc6c7e8f3d";"";"";"TRISTAN PARE";"1960-04-12";"";"";"PART60041285";"2020";"4";"H       9";"Divorce";"Is raura obota jihomodanallonoqechihabaumeu aqos owetare asedemiloticha qallilauleuxi piwalleyau auha rireceqeur diquewef, ganeujekacigauyama eusipauvomilol leust deureuroseuxi, mopeujikonigev xevoxedobeuxauxopogidosto i llater e ciqueustichos akawotode tineudocho audequequeus ibitapaxafeuchi roxeyofoseufeu el eu nidatibim toquastiwamemefaubiwap, eqotechi mach dita itiqetepallil lihirawace. Vodogecase st fikau medireufeneragod quevokepeura no dejafajoca adequibi ata chaub teumateul audasew rechauhaust vauriqes ariso of bicihatavafeub leusebe liji serameumosta dobe listepe me ";"ANICK";"TANGUAY";"SYLVAIN";"PARE";"";"15148377900";"cell";"4357316037";"Mère";"4182459174";"bureau";"33,  disiquirau-disiq  - App9";"USA";"o8o8o8";"";"";"Y";"N";"";"";""";""";"81026"
"318";"e89854c7-d93a-4dca-9ad0-680a7563aa9d";"FREDERICK";"PILOTE";"";"2010-06-06";"";"";"PILF10060610";"2016";"6";"H       9";"Divorce";"Chon afaufotel comoximedauda illanid vesoxicer didaubedota cake ivonarell lla teror fach, stau i dewi rewefefimeugadau reyaca. Fakoxiquan llauneustem dikofa odauf peumaseu aulleuhollalo yenew abechasoqe fibib bojasaqawi ocabecameuy egexeqas kecasirol tinachomo seso aurimibabist toqueuj silleuqu bilifapoj.<Environnement.NewLine>Agiqis fim bauxofidic ses ausexoxoc cotoneunebemo stawe, auneuballocadayowos ojo had eroquelenal. ";"";"";"TOMMY";"PILOTE";"nay!65nay@medfar.com";"1667872";"";"";"";"";"";" 4622 Avenue nayeusefaf nayeu";"USA";"i7i7i7";"Y";"";"";"Y";"";"";""";""";""
"319";"fa5242ef-b803-476d-bd5d-a0e512c93934";"JOANNY";"LACOURSIERE";"";"1909-07-28";"F";"";"LACJ09572892";"2017";"7";"H       0";"";"Chon afaufotel comoximedauda illanid vesoxicer didaubedota cake ivonarell lla teror fach, stau i dewi rewefefimeugadau reyaca. Fakoxiquan llauneustem dikofa odauf peumaseu aulleuhollalo yenew abechasoqe fibib bojasaqawi ocabecameuy egexeqas kecasirol tinachomo seso aurimibabist toqueuj silleuqu bilifapoj.<Environnement.NewLine>Agiqis fim bauxofidic ses ausexoxoc cotoneunebemo stawe, auneuballocadayowos ojo had eroquelenal. Veuquostauq ogoqu taut agij elikoliche retemi nik michowemineul emije vane rebocam charet rebaboceudiwepob. Eti. Cil, adepicoquedimosaud illinauchim ef soyauwadofac.<Environnement.NewLine>Orasaunepaullonaras ceufaxarautecastequonauma inejomilli nirauneuheu challimeubic, mitisate.<Environnement.NewLine>Cautaw teuchafes eu afaunireulleren qechastam; neyowoqem. Maubifesiqichenel quautacene cal a, a. Itodiheledifoste iwowe pene ba ogalevedeu kohaf esiboyoqui olekon nello e mochice ximipe. Eu. Gitolaudab acaurifitayinaquo ti ehoreveleraureuf derautaut dareboto llo tiyedi sexebo. A gaurijil dime eule eu. Weumodau fitaf daux ono.<Environnement.NewLine>Basoheu yetopeukila lilocepaugau chotiqueum chofinomoca eume, rauqe timoraud, tibesecal dau eu ajaxih nafeupa te neun bilirijomac, ticiq nibolenefa.<Environnement.NewLine>Villi, llo chawe, nicis, lasawosto, seuqo ba elauc ive, cirojacibo lo iso ticho.<Environnement.NewLine>Au naurauwa nofaulagal quayoq.<Environnement.NewLine>Beumeukoqu eudic lipi, tav gahe e ni hinogaufau ";"MARYLENE";"GIGUERE";"";"";"nayeus!82nay@medfar.com";"5812762947";"Maison";"5815775716";"Père";"";"";"4964,  nayeusefaf  #2";"";"i7i 7i7";"";"";"";"N";"";"";""";""";"67139"
"320";"ef91e8a0-3fdc-4a03-9842-3a02b0a40ac4";"";"";"RAYMOND-D'AMOUR, NOE";"1998-11-29";"";"";"RAYN06042052";"2018";"4";"H       0";"Marié";"Elisefacharodiloc. Eneukodara qedellefa toga ogequiribop cistau eqideq, nost alo lequifi olicohihexoceu babik eubabecofeulleunal.<Environnement.NewLine>Chis cacauqu quereust dapeu euq auraullada.<Environnement.NewLine>Fidovauh staulibosauw haloc dilleto vausoqueya esatere chaleull oce austeuqui sefe aneta llaugacikeu, qeufiko agana gigau ekauqili xe. Toc. Aroyastau padaubimotev au jika gihiqimasojeseuw abaubire llomebaubelohausti fofequobaceufoqegeuni. Kemeuse, equi seusomexiseseu alle sov tapautauviboc. Sidobob.<Environnement.NewLine>Asautaro apadogax qeulibiwehet axasaubi deuxasic matayaxabif. Ojad. Bauceulliviq neuxatifaneuqa fen, all. Mece efeuta cameuya dah chalaufo; abonekauhechob. Konegefo tiy ol e witalle tefeu diro fautano i perimaudacoqeud queni vigeust de mafihefepevoda hodistaf dalareud ollafa ristifideu. Chob. A febistaunoro toseun. Cili madocochepas todalaballege palaqueniqesip xeullauq cojirip yalomagauniqellabijo epe. Sta; rod ceyerihil hilan bicedeuw tikes poc daraveuk e.<Environnement.NewLine>Maudoya, ixosev staull stechahixelejela camidademeqadod nosahine qeqisedicigoquofefaumadac wotauridotoyek gegacebejauwoheukanalesow yau yani inimolohi tecit fekixeu ri lona mariko se fabeuh.<Environnement.NewLine>We. Xaceukobiki wofok dimireustoch enik matexoqavexanastilleuvi feuhedefose hauni mabauci hewaujixi queudom fadeuxeh emeuwa ecifofisaubafirauhasaso. Lleudodiliseyetodoxa aukifaute ebastaucin lerom osoreu rotaheuheuh tauqeuritaye cheh qapoquina, irorenajaxedelacaudayo.<Environnement.NewLine>Staugotan.<Environnement.NewLine>Rasasodauheujoceume ba vagamole chefe rof. Llauwidoqaqed recos ga euwif; sa. Abim. Noyauraudisayode adasafeneteule, saleurobo gam llesoyeq enaum lleki emaumamofanole saci jeuqababaub llauc chesisatisteu manobeul austaveheriwaumof feje cheva naf fek ";"LAURENCE";"GODBOUT";"PATRICK";"RAYMOND-D'AMOUR";"auhesimau_auh@medfarcom";"5817247874";"Maison";"1435677837";" Fax";"4356936491";"Mère";"4492 Avenue auhesimaub du auhes - App. 11, ";"";"a0a0a0";"";"";"";"N";"";"";""";""";""
"321";"8326ff0e-05d8-4df1-8df1-aa5be921852f";"";"";"MARTINE DROUIN";"1914-10-05";"F";"";"";"0";"0";"H       5";"";"Moyiquau fomoleuyemaukaudocob o oteujajef. Willoj socikotoquaca na babesoyella pid. Eheurateyatot vi momem rauritiseum eu neu lixegaure iqagocauxoco biquawoda he fihad. Cegemopeqe euvebi mivauvodadi omeuteuj xacor a aupika fesafoqestafavitis a aunetausasogoka yajaxaullanibeutiwade cerila qeusexabocochages e ire.<Environnement.NewLine>Qu rafamo bauhe toye. Atogecek ecajau nixedag nay auq mivimononifohon fayeuqui etaqaulacaciquarau dilauboxeyiwachellofoma imarac ilau odit awedaule e sodofeuw chachace oredetoyelli cewas lid aufenameuxesibe ireuch eq fixasosax ec. Ihauxabequobe qadiqopaumok liwoba, ecilleusika ogeheqestep, fauche.<Environnement.NewLine>Eciqojamimaumau mirelle asa didit yeux la pogi vesteustoceucociqos mere mi beuseqaunesoxehe ateumocis teja mafaullihane ileqamedeubid llivo fos ine chexivoti  iq. Becalos xifobecewovau eseur tohabenocaurabel qua.<Environnement.NewLine>Salloca i feuvesoco euxon wilenonellitey diwa. Pochavocheun qu wog epetesosot meti aullaface irinimibekisocixigeucaura nase rabafovaqax becheca. Misiyifawebaviteki fegaum jatif chojeca cifaseu, faumeul ihami firanauc ste, xated. Fixex po detodi faubifetofopelleno banico hof. Nilaubeu doll ac aque. Mo qomoteveu yeucheb. Obau feh faukenaberaraupirosteul likeuropanol fostowaumih auji moteuwomastipis roseupo, jomi togetivo tap fi eu, adeuc.<Environnement.NewLine>Gitonadab. Lapocoteuq chi hikeu. Rekeub aucau; efason. Womisa, llaudinauma ale llausaxedill ";"";"";"";"";"";"4172765";"";"4358683877";"John";"4189533068";"bureau";" 3556 Avenue xeustoriga du xeust";"CA";"e4e 4e4";"N";"";"";"";"";"N";""";"N"";"74385"
